2018-12-29 11:58:05[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:58:05[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 11:58:08[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:58:08[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 11:58:24[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:58:24[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 11:58:26[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:58:26[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 11:59:51[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:59:51[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 11:59:54[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 11:59:54[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 12:00:14[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:00:15[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 12:00:17[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:00:17[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 12:26:31[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:26:32[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 12:26:35[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:26:35[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 12:27:14[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:27:14[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 12:27:17[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:27:18[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 12:27:26[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:27:26[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 12:27:28[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 12:27:28[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-29 13:41:26[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 13:41:27[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-29 13:41:29[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
2018-12-29 13:41:29[platform] INFO [main] DruidDataSource.init(947) | {dataSource-2} inited
2018-12-30 22:22:23[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:22:23[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:23[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:23[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:23[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:23[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:23[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:24[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:22:25[platform] WARN [main] LoggerUtils.warn(39) | 数据源名称:test_copy_slave , 数据源编号:test_copy_slave , 错误信息:当前数据源以被停用!!
2018-12-30 22:22:25[platform] INFO [main] LoggerUtils.info(18) | 当前没有任何任务！！
2018-12-30 22:22:58[platform] INFO [main] LoggerUtils.info(18) | sync.data.source.loader.model 加载成功
2018-12-30 22:22:58[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:58[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:58[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:58[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:58[platform] INFO [main] LoggerUtils.info(18) | 通过xml的形式加载所有数据源成功!!,配置文件:D:/software/helpProgramming/git_client/git/workspace_directory/job_directory/sync_data_db_workspace/bjhy_data_sync_db/data-sync-db/config/db.xml
2018-12-30 22:22:58[platform] INFO [main] DriverManagerDataSource.setDriverClassName(133) | Loaded JDBC driver: com.mysql.jdbc.Driver
2018-12-30 22:22:59[platform] INFO [main] DruidDataSource.init(947) | {dataSource-1} inited
2018-12-30 22:22:59[platform] INFO [main] LoggerUtils.info(18) | version_check 表已经存在!Table 'version_check' already exists
2018-12-30 22:22:59[platform] INFO [main] LoggerUtils.info(18) | step_store 表已经存在!Table 'step_store' already exists
